name,category
acetaminophen/chlorpheniramine/dextromethorphan (OTC),Allergy & Cold
acetaminophen/diphenhydramine/dextromethorphan (OTC),Allergy & Cold
aspirin/chlorpheniramine/dextromethorphan (OTC),Allergy & Cold
aspirin/chlorpheniramine/dextromethorphan (OTC),Allergy & Cold
acetaminophen/chlorpheniramine/dextromethorphan (OTC),Allergy & Cold
acetaminophen/chlorpheniramine/dextromethorphan (OTC),Allergy & Cold
acetaminophen/chlorpheniramine/dextromethorphan (OTC),Allergy & Cold
acetaminophen/diphenhydramine/dextromethorphan (OTC),Allergy & Cold
acetaminophen/chlorpheniramine/dextromethorphan (OTC),Allergy & Cold
acetaminophen/chlorpheniramine/dextromethorphan (OTC),Allergy & Cold
